"Var1","Var2","Var3","Var4","Var5","Var6","Var7"
128
0,0,0,0,0,0,0
1,0,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,0,0,0,0
0,0,1,0,0,0,0
1,0,1,0,0,0,0
0,1,1,0,0,0,0
1,1,1,0,0,0,0
0,0,0,1,0,0,0
1,0,0,1,0,0,0
0,1,0,1,0,0,0
1,1,0,1,0,0,0
0,0,1,1,0,0,0
1,0,1,1,0,0,0
0,1,1,1,0,0,0
1,1,1,1,0,0,0
0,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,1,0,1,0,0
0,1,1,0,1,0,0
1,1,1,0,1,0,0
0,0,0,1,1,0,0
1,0,0,1,1,0,0
0,1,0,1,1,0,0
1,1,0,1,1,0,0
0,0,1,1,1,0,0
1,0,1,1,1,0,0
0,1,1,1,1,0,0
1,1,1,1,1,0,0
0,0,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,1,0,0,0,1,0
0,0,1,0,0,1,0
1,0,1,0,0,1,0
0,1,1,0,0,1,0
1,1,1,0,0,1,0
0,0,0,1,0,1,0
1,0,0,1,0,1,0
0,1,0,1,0,1,0
1,1,0,1,0,1,0
0,0,1,1,0,1,0
1,0,1,1,0,1,0
0,1,1,1,0,1,0
1,1,1,1,0,1,0
0,0,0,0,1,1,0
1,0,0,0,1,1,0
0,1,0,0,1,1,0
1,1,0,0,1,1,0
0,0,1,0,1,1,0
1,0,1,0,1,1,0
0,1,1,0,1,1,0
1,1,1,0,1,1,0
0,0,0,1,1,1,0
1,0,0,1,1,1,0
0,1,0,1,1,1,0
1,1,0,1,1,1,0
0,0,1,1,1,1,0
1,0,1,1,1,1,0
0,1,1,1,1,1,0
1,1,1,1,1,1,0
0,0,0,0,0,0,1
1,0,0,0,0,0,1
0,1,0,0,0,0,1
1,1,0,0,0,0,1
0,0,1,0,0,0,1
1,0,1,0,0,0,1
0,1,1,0,0,0,1
1,1,1,0,0,0,1
0,0,0,1,0,0,1
1,0,0,1,0,0,1
0,1,0,1,0,0,1
1,1,0,1,0,0,1
0,0,1,1,0,0,1
1,0,1,1,0,0,1
0,1,1,1,0,0,1
1,1,1,1,0,0,1
0,0,0,0,1,0,1
1,0,0,0,1,0,1
0,1,0,0,1,0,1
1,1,0,0,1,0,1
0,0,1,0,1,0,1
1,0,1,0,1,0,1
0,1,1,0,1,0,1
1,1,1,0,1,0,1
0,0,0,1,1,0,1
1,0,0,1,1,0,1
0,1,0,1,1,0,1
1,1,0,1,1,0,1
0,0,1,1,1,0,1
1,0,1,1,1,0,1
0,1,1,1,1,0,1
1,1,1,1,1,0,1
0,0,0,0,0,1,1
1,0,0,0,0,1,1
0,1,0,0,0,1,1
1,1,0,0,0,1,1
0,0,1,0,0,1,1
1,0,1,0,0,1,1
0,1,1,0,0,1,1
1,1,1,0,0,1,1
0,0,0,1,0,1,1
1,0,0,1,0,1,1
0,1,0,1,0,1,1
1,1,0,1,0,1,1
0,0,1,1,0,1,1
1,0,1,1,0,1,1
0,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,1,1,1
1,0,0,0,1,1,1
0,1,0,0,1,1,1
1,1,0,0,1,1,1
0,0,1,0,1,1,1
1,0,1,0,1,1,1
0,1,1,0,1,1,1
1,1,1,0,1,1,1
0,0,0,1,1,1,1
1,0,0,1,1,1,1
0,1,0,1,1,1,1
1,1,0,1,1,1,1
0,0,1,1,1,1,1
1,0,1,1,1,1,1
0,1,1,1,1,1,1
1,1,1,1,1,1,1
